model,fold,timestamp,precision,recall,f1_score,auc,training_time,inference_time,parameters
LOF,0,2025-07-28 12:41:32,0.9935691318327974,0.9830328738069989,0.988272921108742,0.9912606277092519,0.08962416648864746,0.11750602722167969,"{'n_neighbors': 10, 'contamination': 0.1}"
LOF,1,2025-07-28 12:41:32,0.9909381663113006,0.9856839872746553,0.9883040935672515,0.9912606277092519,0.08077454566955566,0.12261199951171875,"{'n_neighbors': 10, 'contamination': 0.15}"
LOF,2,2025-07-28 12:41:33,0.9962385814078453,0.9830328738069989,0.9895916733386709,0.9906048259567264,0.09987735748291016,0.13453388214111328,"{'n_neighbors': 20, 'contamination': 0.1}"
LOF,3,2025-07-28 12:41:33,0.9925133689839573,0.9840933191940615,0.9882854100106496,0.9906048259567264,0.10661983489990234,0.15099525451660156,"{'n_neighbors': 20, 'contamination': 0.15}"
OneClassSVM,0,2025-07-28 12:41:33,0.9946294307196563,0.9819724284199364,0.9882604055496265,0.9904094807538465,0.07709527015686035,0.057044029235839844,"{'nu': 0.05, 'gamma': 'scale', 'kernel': 'rbf'}"
OneClassSVM,1,2025-07-28 12:41:33,0.9914438502673797,0.9830328738069989,0.987220447284345,0.9897908876113932,0.08097338676452637,0.10697770118713379,"{'nu': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}"
EllipticEnvelope,0,2025-07-28 12:41:34,0.9935691318327974,0.9830328738069989,0.988272921108742,0.9914094621495413,0.23538589477539062,0.0009992122650146484,"{'support_fraction': None, 'contamination': 0.1}"
EllipticEnvelope,1,2025-07-28 12:41:34,0.9914529914529915,0.9840933191940615,0.9877594465141033,0.9913443470819148,0.20503020286560059,0.0,"{'support_fraction': None, 'contamination': 0.15}"
EllipticEnvelope,2,2025-07-28 12:41:34,0.9930406852248393,0.9835630965005302,0.988279168886521,0.9913908578445053,0.17605996131896973,0.0009999275207519531,"{'support_fraction': 0.8, 'contamination': 0.1}"
EllipticEnvelope,3,2025-07-28 12:41:34,0.9898612593383138,0.9835630965005302,0.9867021276595744,0.9913908578445052,0.19323325157165527,0.0019893646240234375,"{'support_fraction': 0.8, 'contamination': 0.15}"
IsolationForest,0,2025-07-28 12:41:34,0.9930369576861274,0.9830328738069989,0.988009592326139,0.9759864932745437,0.10930061340332031,0.015000104904174805,"{'n_estimators': 50, 'max_samples': 0.8, 'contamination': 0.1}"
IsolationForest,1,2025-07-28 12:41:34,0.9909188034188035,0.9835630965005302,0.9872272485364556,0.9759864932745437,0.0836632251739502,0.008993864059448242,"{'n_estimators': 50, 'max_samples': 0.8, 'contamination': 0.15}"
IsolationForest,2,2025-07-28 12:41:35,0.9930406852248393,0.9835630965005302,0.988279168886521,0.9776841361090957,0.19106388092041016,0.02926921844482422,"{'n_estimators': 100, 'max_samples': 0.8, 'contamination': 0.1}"
IsolationForest,3,2025-07-28 12:41:35,0.9914484233030465,0.9835630965005302,0.9874900186318871,0.9776841361090957,0.21255755424499512,0.018514156341552734,"{'n_estimators': 100, 'max_samples': 0.8, 'contamination': 0.15}"
Autoencoder,0,2025-07-28 12:41:39,0.9973089343379978,0.9825026511134677,0.9898504273504274,0.9910187717437815,4.229178190231323,0.011886835098266602,"{'epochs': 20, 'latent_dim': 8, 'dropout_rate': 0.0}"
Autoencoder,1,2025-07-28 12:41:41,0.9973089343379978,0.9825026511134677,0.9898504273504274,0.9916327138099755,2.287987232208252,0.0039000511169433594,"{'epochs': 20, 'latent_dim': 8, 'dropout_rate': 0.1}"
Autoencoder,2,2025-07-28 12:41:43,0.9951664876476907,0.9825026511134677,0.9887940234791889,0.9905397108890998,1.3188557624816895,0.005090475082397461,"{'epochs': 20, 'latent_dim': 16, 'dropout_rate': 0.0}"
Autoencoder,3,2025-07-28 12:41:44,0.9967724583109199,0.9825026511134677,0.9895861148197597,0.9915769008948672,1.5072107315063477,0.0029828548431396484,"{'epochs': 20, 'latent_dim': 16, 'dropout_rate': 0.1}"
Autoencoder,4,2025-07-28 12:41:48,0.9978471474703983,0.9830328738069989,0.9903846153846154,0.9906792431768712,3.6933979988098145,0.004001617431640625,"{'epochs': 50, 'latent_dim': 8, 'dropout_rate': 0.0}"
Autoencoder,5,2025-07-28 12:41:54,0.9951638903815153,0.9819724284199364,0.9885241526554577,0.9914838793696862,5.969649791717529,0.004030942916870117,"{'epochs': 50, 'latent_dim': 8, 'dropout_rate': 0.1}"
Autoencoder,6,2025-07-28 12:41:58,0.9951690821256038,0.9830328738069989,0.9890637503334222,0.9898560026790199,4.425207853317261,0.0039997100830078125,"{'epochs': 50, 'latent_dim': 16, 'dropout_rate': 0.0}"
Autoencoder,7,2025-07-28 12:42:03,0.9967724583109199,0.9825026511134677,0.9895861148197597,0.9910838868114081,5.037083148956299,0.0054607391357421875,"{'epochs': 50, 'latent_dim': 16, 'dropout_rate': 0.1}"
